Posição,Município,UF,Quantidade
1,Macaé,RJ,261
2,Rio de Janeiro,RJ,241
3,São Paulo,SP,241
4,Santos,SP,142
5,Belo Horizonte,MG,97
6,Uberaba,MG,73
7,Manaus,AM,68
8,Vitória,ES,67
9,Betim,MG,64
10,Uberlândia,MG,61
11,Ribeirão Preto,SP,61
12,Curitiba,PR,58
13,Duque de Caxias,RJ,57
14,Brasília,DF,57
15,Campo Grande,MS,55
16,Niterói,RJ,53
17,Salvador,BA,52
18,Maceió,AL,49
19,Carmo da Cachoeira,MG,48
20,Araxá,MG,47
21,Sorocaba,SP,46
22,Fortaleza,CE,45
23,Lavras,MG,45
24,Aracaju,SE,45
25,Rio Grande,RS,44
26,Paranaguá,PR,43
27,Guaratuba,PR,42
28,Pouso Alegre,MG,42
29,Porto Alegre,RS,41
30,Carmópolis,SE,41
31,Oliveira,MG,39
32,Juiz de Fora,MG,37
33,Cambuí,MG,37
34,São Francisco do Sul,SC,36
35,Cubatão,SP,36
36,Bauru,SP,36
37,Ibiá,MG,35
38,Araras,SP,35
39,Montes Claros,MG,34
40,Extrema,MG,34
41,Recife,PE,34
42,Joinville,SC,34
43,São José dos Campos,SP,33
44,Londrina,PR,33
45,Goiânia,GO,33
46,Campos Altos,MG,32
47,Perdões,MG,31
48,Itabirito,MG,31
49,São Sebastião,SP,31
50,Santo Antônio do Amparo,MG,31
51,Três Corações,MG,30
52,Piraí,RJ,30
53,Campinas,SP,30
54,São Luís,MA,30
55,Apucarana,PR,30
56,Contagem,MG,29
57,Guarujá,SP,29
58,Cuiabá,MT,29
59,Florianópolis,SC,29
60,Nova Lima,MG,28
61,Matinhos,PR,28
62,Igarapé,MG,28
63,Guarulhos,SP,27
64,Santos Dumont,MG,27
65,São Gonçalo do Sapucaí,MG,27
66,Canoas,RS,26
67,Araças,BA,26
68,Brumadinho,MG,26
69,Morretes,PR,26
70,Paulínia,SP,25
71,Candeias,BA,25
72,Esplanada,BA,25
73,Carmópolis de Minas,MG,24
74,Piracicaba,SP,24
75,Itapeva,MG,24
76,Barbacena,MG,24
77,Sabará,MG,24
78,Curvelo,MG,24
79,Porto Velho,RO,23
80,Belém,PA,23
81,Sete Lagoas,MG,22
82,São José do Rio Preto,SP,22
83,São Francisco do Conde,BA,22
84,Petrópolis,RJ,22
85,Luz,MG,21
86,Itabira,MG,21
87,Itaguara,MG,20
88,Guamaré,RN,20
89,Monte Alegre de Minas,MG,20
90,Ponta Grossa,PR,20
91,Pojuca,BA,19
92,Itatiaiuçu,MG,19
93,Barra Mansa,RJ,19
94,Campina Grande do Sul,PR,19
95,Jundiaí,SP,19
96,Vila Velha,ES,19
97,Muriaé,MG,19
98,Araraquara,SP,19
99,Três Marias,MG,19
100,Três Lagoas,MS,19
101,Patrocínio,MG,18
102,Dourados,MS,18
103,Juatuba,MG,18
104,Maringá,PR,18
105,Prata,MG,18
106,Angra dos Reis,RJ,18
107,Jacareí,SP,17
108,Linhares,ES,17
109,Campos dos Goytacazes,RJ,17
110,Feira de Santana,BA,17
111,Tramandaí,RS,17
112,Carandaí,MG,17
113,São José dos Pinhais,PR,17
114,São Bento do Sul,SC,16
115,Estiva,MG,16
116,Japaratuba,SE,16
117,Diadema,SP,16
118,Divinópolis,MG,16
119,Campanha,MG,16
120,Diamantina,MG,16
121,Leopoldina,MG,16
122,Sumaré,SP,16
123,Taubaté,SP,16
124,Cajati,SP,16
125,Camanducaia,MG,16
126,Ituiutaba,MG,16
127,Ouro Preto,MG,16
128,Votuporanga,SP,16
129,Itajaí,SC,15
130,João Monlevade,MG,15
131,Araucária,PR,15
132,Itanhaém,SP,15
133,São João da Barra,RJ,15
134,Cosmópolis,SP,15
135,Santa Luzia,MG,15
136,Pelotas,RS,15
137,Careaçu,MG,15
138,São Vicente,SP,15
139,Mairiporã,SP,15
140,São Manuel,SP,14
141,Nepomuceno,MG,14
142,Caçapava,SP,14
143,Congonhas,MG,14
144,Novo Hamburgo,RS,14
145,Paraopeba,MG,14
146,São Roque,SP,14
147,Volta Redonda,RJ,14
148,Teófilo Otoni,MG,14
149,Gravataí,RS,13
150,Limeira,SP,13
151,Santo André,SP,13
152,Mafra,SC,13
153,Anápolis,GO,13
154,Além Paraíba,MG,13
155,São Gonçalo,RJ,13
156,Indaiatuba,SP,13
157,Paracuru,CE,13
158,Barcarena,PA,13
159,Paracatu,MG,13
160,Pará de Minas,MG,13
161,Aracruz,ES,13
162,São Mateus,ES,13
163,Cascavel,PR,13
164,Araporã,MG,13
165,Pirassununga,SP,12
166,São Sebastião do Passé,BA,12
167,Manhuaçu,MG,12
168,Americana,SP,12
169,Reserva,PR,12
170,Artur Nogueira,SP,12
171,Concórdia,SC,12
172,Camaçari,BA,12
173,Macau,RN,12
174,São Carlos,SP,12
175,São Leopoldo,RS,12
176,Ortigueira,PR,11
177,Rondonópolis,MT,11
178,Mangaratiba,RJ,11
179,Pindamonhangaba,SP,11
180,Caxias do Sul,RS,11
181,São Bernardo do Campo,SP,11
182,São Gonçalo do Rio Abaixo,MG,11
183,Barra do Turvo,SP,11
184,Araguari,MG,11
185,Pirapora,MG,11
186,Governador Valadares,MG,11
187,Lassance,MG,10
188,Lages,SC,10
189,Teresina,PI,10
190,Francisco Sá,MG,10
191,Santa Vitória,MG,10
192,Palmas,TO,10
193,Nova Iguaçu,RJ,10
194,Ijuí,RS,10
195,Lençóis Paulista,SP,10
196,Santa Rita do Passa Quatro,SP,10
197,Tijucas do Sul,PR,10
198,Suzano,SP,10
199,Caetité,BA,10
200,Nova Serrana,MG,10
201,Maricá,RJ,10
202,Itapecerica da Serra,SP,10
203,Cristiano Otoni,MG,10
204,Caxias,MA,10
205,Pontal do Paraná,PR,10
206,Felixlândia,MG,10
207,Natal,RN,10
208,Catanduva,SP,10
209,Pedro Leopoldo,MG,10
210,São Sebastião da Bela Vista,MG,10
211,Içara,SC,9
212,Laguna,SC,9
213,Corinto,MG,9
214,Catalão,GO,9
215,Marília,SP,9
216,Navegantes,SC,9
217,Criciúma,SC,9
218,Ribeirão das Neves,MG,9
219,Catu,BA,9
220,Marechal Floriano,ES,9
221,Sacramento,MG,9
222,Frutal,MG,9
223,Palhoça,SC,9
224,Rio Claro,SP,9
225,Formiga,MG,9
226,Hortolândia,SP,9
227,Córrego Danta,MG,9
228,Resende,RJ,9
229,Governador Dix-Sept Rosado,RN,9
230,São Domingos do Prata,MG,9
231,Serra do Salitre,MG,9
232,Alagoinhas,BA,9
233,Itaquaquecetuba,SP,9
234,Tupaciguara,MG,9
235,Araçatuba,SP,9
236,São Gonçalo do Amarante,CE,9
237,Areia Branca,RN,9
238,Mariana,MG,8
239,Jaciara,MT,8
240,Siriri,SE,8
241,Mateus Leme,MG,8
242,Caetanópolis,MG,8
243,Miracatu,SP,8
244,Imbituba,SC,8
245,Mogi das Cruzes,SP,8
246,São João de Meriti,RJ,8
247,Porto Ferreira,SP,8
248,Tupanciretã,RS,8
249,Três Rios,RJ,8
250,Itaúna,MG,8
251,Cornélio Procópio,PR,8
252,Jeceaba,MG,8
